"teamid","wloc","count"
3321,"N",25
3321,"A",79
3321,"H",168
3322,"H",172
3322,"A",118
3322,"N",14
3323,"A",213
3323,"N",58
3323,"H",302
3324,"N",20
3324,"A",127
3324,"H",169
3325,"H",188
3325,"A",119
3325,"N",21
3326,"H",304
3326,"N",47
3326,"A",143
3328,"H",269
3328,"A",156
3328,"N",36
3329,"H",249
3329,"A",89
3329,"N",28
3330,"A",169
3330,"N",28
3330,"H",277
3331,"N",27
3331,"H",188
3331,"A",127
3332,"H",218
3332,"A",129
3332,"N",51
3333,"A",118
3333,"N",36
3333,"H",209
3334,"A",115
3334,"N",12
3334,"H",186
3335,"H",173
3335,"N",13
3335,"A",156
3336,"H",248
3336,"N",27
3336,"A",132
3337,"A",121
3337,"H",189
3337,"N",22
3338,"N",26
3338,"H",174
3338,"A",90
3339,"N",14
3339,"A",102
3339,"H",148
3340,"A",92
3340,"H",159
3340,"N",22
3341,"A",101
3341,"H",150
3341,"N",25
3342,"A",52
3342,"H",67
3342,"N",5
3343,"A",180
3343,"H",200
3343,"N",15
3344,"A",74
3344,"N",21
3344,"H",129
3345,"A",162
3345,"H",284
3345,"N",42
3346,"A",183
3346,"H",213
3346,"N",33
3347,"H",170
3347,"A",127
3347,"N",20
3348,"H",112
3348,"A",74
3348,"N",15
3349,"A",139
3349,"H",230
3349,"N",26
3350,"N",29
3350,"A",156
3350,"H",179
3351,"N",8
3351,"H",130
3351,"A",100
3352,"N",8
3352,"A",128
3352,"H",204
3353,"A",150
3353,"H",270
3353,"N",38
3354,"A",90
3354,"H",128
3354,"N",15
3355,"A",127
3355,"N",35
3355,"H",184
3356,"N",6
3356,"A",88
3356,"H",125
3357,"H",230
3357,"N",8
3357,"A",149
3358,"H",119
3358,"N",11
3358,"A",77
3359,"N",28
3359,"H",170
3359,"A",124
3360,"A",132
3360,"H",201
3360,"N",19
3361,"N",23
3361,"A",87
3361,"H",182
3362,"N",21
3362,"H",145
3362,"A",88
3363,"H",130
3363,"N",11
3363,"A",72
3364,"H",235
3364,"N",16
3364,"A",164
3365,"H",176
3365,"N",23
3365,"A",133
3366,"N",8
3366,"A",38
3366,"H",84
3367,"A",59
3367,"H",84
3368,"A",66
3368,"N",2
3368,"H",125
3369,"H",172
3369,"A",114
3369,"N",15
3370,"N",14
3370,"H",72
3370,"A",43
3371,"N",25
3371,"A",104
3371,"H",188
3372,"N",24
3372,"H",243
3372,"A",159
3373,"A",142
3373,"N",15
3373,"H",184
3374,"A",108
3374,"H",237
3374,"N",28
3375,"A",116
3375,"N",23
3375,"H",174
3376,"A",133
3376,"N",45
3376,"H",264
3377,"H",112
3377,"N",22
3377,"A",80
3378,"N",54
3378,"H",225
3378,"A",110
3379,"A",98
3379,"H",216
3379,"N",14
3380,"N",18
3380,"H",201
3380,"A",132
3381,"H",152
3381,"A",71
3381,"N",6
3382,"H",187
3382,"A",112
3382,"N",19
3383,"H",104
3383,"A",76
3383,"N",6
3384,"H",203
3384,"N",10
3384,"A",145
3385,"H",193
3385,"A",135
3385,"N",33
3386,"N",27
3386,"H",223
3386,"A",149
3387,"H",181
3387,"A",99
3387,"N",19
3388,"H",234
3388,"A",158
3388,"N",22
3389,"A",95
3389,"N",9
3389,"H",157
3390,"N",49
3390,"A",227
3390,"H",324
3391,"N",15
3391,"H",193
3391,"A",111
3392,"N",16
3392,"A",110
3392,"H",168
3393,"H",217
3393,"A",122
3393,"N",45
3394,"N",18
3394,"H",155
3394,"A",101
3395,"N",25
3395,"H",294
3395,"A",108
3396,"A",164
3396,"N",24
3396,"H",225
3397,"N",46
3397,"H",326
3397,"A",223
3398,"N",9
3398,"H",112
3398,"A",67
3399,"A",140
3399,"H",204
3399,"N",10
3400,"N",53
3400,"A",130
3400,"H",286
3401,"H",258
3401,"A",125
3401,"N",56
3402,"A",104
3402,"H",150
3402,"N",12
3403,"N",22
3403,"H",289
3403,"A",108
3404,"A",122
3404,"N",18
3404,"H",202
3405,"H",235
3405,"N",29
3405,"A",159
3406,"A",99
3406,"N",18
3406,"H",151
3407,"H",160
3407,"N",25
3407,"A",107
3408,"H",252
3408,"A",154
3408,"N",29
3409,"N",21
3409,"H",173
3409,"A",94
3410,"N",19
3410,"H",115
3410,"A",79
3411,"A",108
3411,"N",11
3411,"H",140
3412,"A",114
3412,"N",32
3412,"H",203
3413,"N",16
3413,"H",141
3413,"A",114
3414,"H",135
3414,"N",11
3414,"A",97
3415,"A",102
3415,"N",17
3415,"H",146
3416,"A",120
3416,"H",196
3416,"N",24
3417,"H",246
3417,"N",32
3417,"A",150
3418,"N",22
3418,"A",101
3418,"H",144
3419,"N",12
3419,"A",107
3419,"H",158
3420,"N",22
3420,"A",91
3420,"H",142
3421,"A",89
3421,"N",12
3421,"H",141
3422,"A",109
3422,"H",177
3422,"N",12
3423,"A",97
3423,"H",173
3423,"N",21
3424,"N",19
3424,"H",224
3424,"A",107
3425,"N",34
3425,"H",209
3425,"A",123
3426,"H",183
3426,"N",17
3426,"A",151
3427,"A",97
3427,"H",190
3427,"N",13
3428,"A",150
3428,"H",255
3428,"N",30
3429,"A",71
3429,"H",114
3429,"N",15
3430,"H",110
3430,"A",44
3430,"N",9
3431,"N",33
3431,"H",211
3431,"A",96
3433,"A",139
3433,"H",216
3433,"N",24
3434,"H",165
3434,"A",105
3434,"N",21
3435,"A",132
3435,"H",272
3435,"N",33
3436,"N",20
3436,"H",188
3436,"A",124
3437,"N",35
3437,"H",211
3437,"A",166
3438,"H",258
3438,"N",30
3438,"A",121
3439,"H",243
3439,"N",33
3439,"A",112
3441,"H",129
3441,"A",116
3441,"N",22
3442,"N",17
3442,"H",162
3442,"A",121
3443,"N",40
3443,"A",170
3443,"H",267
3444,"A",115
3444,"H",171
3444,"N",21
3445,"H",11
3445,"N",2
3445,"A",6
3447,"A",78
3447,"H",113
3447,"N",4
3448,"N",27
3448,"A",80
3448,"H",194
3449,"N",31
3449,"A",118
3449,"H",217
3450,"H",118
3450,"N",20
3450,"A",74
3451,"H",146
3451,"A",100
3451,"N",13
3452,"H",242
3452,"N",57
3452,"A",119
3453,"H",312
3453,"N",27
3453,"A",235
3454,"A",138
3454,"N",18
3454,"H",184
3455,"H",223
3455,"A",95
3455,"N",25
3456,"N",20
3456,"A",109
3456,"H",147
3457,"A",81
3457,"N",17
3457,"H",126
3458,"N",26
3458,"A",89
3458,"H",193
3459,"N",8
3459,"A",57
3459,"H",102
3460,"N",23
3460,"A",136
3460,"H",183
3461,"H",202
3461,"N",23
3461,"A",124
3462,"A",139
3462,"H",247
3462,"N",23
3463,"A",118
3463,"H",144
3463,"N",9
3464,"H",163
3464,"N",9
3464,"A",105
3465,"A",11
3465,"H",16
3466,"H",16
3466,"A",12
3466,"N",6
3467,"A",8
3467,"H",10
