"teamid","state","city","number"
3107,"CT","West Hartford",10
3107,"NJ","West Long Branch",1
3107,"MA","Worcester",1
3108,"LA","Baton Rouge",3
3108,"TX","Garland",3
3108,"LA","Grambling",4
3108,"MS","Greenwood",2
3108,"LA","Hammond",3
3108,"TX","Houston",2
3108,"AL","Huntsville",1
3108,"MS","Itta Bena",5
3108,"MS","Jackson",2
3108,"MS","Lorman",53
3108,"AL","Montgomery",2
3108,"TN","Nashville",1
3108,"AL","Normal",3
3108,"AR","Pine Bluff",4
3108,"TX","Prairie View",4
3110,"MD","Annapolis",5
3110,"MD","Baltimore",8
3110,"PA","Bethlehem",11
3110,"MA","Boston",3
3110,"VT","Burlington",1
3110,"FL","DeLand",1
3110,"PA","Easton",8
3110,"NC","Elon",1
3110,"MD","Emmitsburg",2
3110,"VA","Fairfax",1
3110,"NC","Greenville",1
3110,"NY","Hamilton",10
3110,"VA","Hampton",1
3110,"NH","Hanover",1
3110,"HI","Honolulu",1
3110,"NV","Las Vegas",3
3110,"PA","Lewisburg",5
3110,"TX","Lubbock",1
3110,"PA","Philadelphia",1
3110,"MD","Princess Anne",3
3110,"RI","Providence",1
3110,"VA","Radford",1
3110,"NY","Riverdale",1
3110,"CA","San Luis Obispo",2
3110,"AL","Troy",1
3110,"OK","Tulsa",1
3110,"DC","Washington",109
3110,"NJ","West Long Branch",2
3110,"NY","West Point",5
3110,"MA","Worcester",8
3110,"OH","Youngstown",2
3111,"NC","Asheville",4
3111,"GA","Atlanta",5
3111,"AL","Birmingham",3
3111,"NC","Boiling Springs",1
3111,"NC","Boone",85
3111,"SC","Charleston",5
3111,"NC","Charlotte",1
3111,"TN","Chattanooga",3
3111,"IL","Chicago",1
3111,"OH","Cincinnati",1
3111,"SC","Conway",1
3111,"NC","Cullowhee",5
3111,"NC","Davidson",4
3111,"FL","DeLand",1
3111,"NC","Elon",3
3111,"VA","Farmville",2
3111,"NC","Greensboro",5
3111,"NC","Greenville",2
3111,"SC","Greenville",3
3111,"WV","Huntington",2
3111,"TN","Johnson City",4
3111,"AR","Jonesboro",1
3111,"VA","Lynchburg",1
3111,"AL","Mobile",2
3111,"LA","Monroe",4
3111,"LA","New Orleans",4
3111,"PA","Pittsburgh",1
3111,"VA","Radford",1
3111,"TX","San Marcos",3
3111,"SC","Spartanburg",6
3111,"GA","Statesboro",5
3111,"AL","Troy",1
3111,"NC","Wilmington",1
3111,"NC","Winston-Salem",1
3112,"NM","Albuquerque",2
3112,"GA","Atlanta",1
3112,"TX","Austin",1
3112,"CA","Bakersfield",1
3112,"CO","Boulder",1
3112,"MX","Cancun",1
3112,"UT","Cedar City",1
3112,"IL","Chicago",1
3112,"OR","Corvallis",4
3112,"TX","Denton",2
3112,"TX","El Paso",1
3112,"OR","Eugene",1
3112,"VA","Fairfax",1
3112,"HI","Honolulu",2
3112,"HI","Laie",1
3112,"NM","Las Cruces",2
3112,"NV","Las Vegas",3
3112,"UT","Logan",1
3112,"CA","Long Beach",1
3112,"CA","Los Angeles",6
3112,"BA","Lucaya",1
3112,"FL","Miami",1
3112,"MT","Missoula",1
3112,"NY","New Rochelle",2
3112,"MS","Oxford",1
3112,"AR","Pine Bluff",1
3112,"WA","Pullman",5
3112,"UT","Salt Lake City",3
3112,"CA","San Diego",2
3112,"CA","Santa Barbara",1
3112,"WA","Seattle",4
3112,"GA","Statesboro",1
3112,"AZ","Tempe",1
3112,"OH","Toledo",1
3112,"PR","Trujillo Alto",1
3112,"AZ","Tucson",89
3112,"KS","Wichita",1
3112,"NC","Winston-Salem",1
3113,"TX","Austin",1
3113,"CA","Berkeley",5
3113,"CO","Boulder",7
3113,"SD","Brookings",1
3113,"MX","Cancun",4
3113,"MA","Chestnut Hill",1
3113,"SC","Columbia",1
3113,"FL","Coral Gables",3
3113,"OR","Corvallis",3
3113,"TX","Dallas",1
3113,"FL","Estero",2
3113,"OR","Eugene",4
3113,"AR","Fayetteville",1
3113,"CO","Fort Collins",2
3113,"FL","Fort Myers",2
3113,"BA","Freeport",1
3113,"CA","Fresno",1
3113,"CA","Fullerton",1
3113,"PR","Guaynabo",1
3113,"HI","Honolulu",4
3113,"WI","La Crosse",1
3113,"NM","Las Cruces",1
3113,"NV","Las Vegas",5
3113,"KY","Lexington",1
3113,"CA","Los Angeles",8
3113,"TX","Lubbock",1
3113,"TN","Murfreesboro",1
3113,"CT","New Haven",1
3113,"IL","Normal",1
3113,"RI","Providence",1
3113,"WA","Pullman",7
3113,"CA","Riverside",1
3113,"UT","Salt Lake City",5
3113,"WA","Seattle",9
3113,"CA","Stanford",2
3113,"NY","Syracuse",1
3113,"AZ","Tempe",132
3113,"OH","Toledo",1
3113,"AZ","Tucson",6
3113,"CT","West Hartford",1
3114,"TX","Arlington",5
3114,"GA","Atlanta",3
3114,"LA","Baton Rouge",1
3114,"FL","Boca Raton",3
3114,"NC","Boone",5
3114,"KY","Bowling Green",1
3114,"SC","Conway",3
3114,"TX","Dallas",1
3114,"TX","Denton",3
3114,"CO","Denver",3
3114,"MS","Hattiesburg",1
3114,"AR","Hot Springs",10
3114,"TX","Houston",3
3114,"AR","Jonesboro",5
3114,"LA","Lafayette",11
3114,"AR","Little Rock",124
3114,"TN","Memphis",4
3114,"FL","Miami",3
3114,"AL","Mobile",8
3114,"LA","Monroe",10
3114,"LA","New Orleans",13
3114,"OK","Norman",1
3114,"IL","Peoria",1
3114,"LA","Ruston",1
3114,"TX","San Marcos",2
3114,"WA","Seattle",1
3114,"MO","Springfield",1
3114,"GA","Statesboro",4
3114,"AZ","Tempe",1
3114,"AL","Troy",3
3114,"OK","Tulsa",6
3115,"TX","Edinburg",1
3115,"TX","Garland",2
3115,"LA","Grambling",1
3115,"MS","Greenwood",1
3115,"TX","Houston",1
3115,"AL","Huntsville",1
3115,"MS","Itta Bena",3
3115,"MS","Jackson",4
3115,"MS","Lorman",2
3115,"AL","Montgomery",2
3115,"LA","New Orleans",1
3115,"AL","Normal",1
3115,"AR","Pine Bluff",37
3115,"PR","San Juan",1
3116,"TX","Abilene",1
3116,"NM","Albuquerque",2
3116,"TX","Arlington",2
3116,"AL","Auburn",5
3116,"LA","Baton Rouge",4
3116,"MX","Cancun",2
3116,"TX","College Station",1
3116,"MO","Columbia",1
3116,"SC","Columbia",1
3116,"AR","Conway",2
3116,"FL","Daytona Beach",2
3116,"IL","Edwardsville",1
3116,"TX","El Paso",3
3116,"AR","Fayetteville",115
3116,"FL","Gainesville",1
3116,"SC","Greenville",6
3116,"HI","Honolulu",2
3116,"AR","Hot Springs",1
3116,"TN","Knoxville",2
3116,"NV","Las Vegas",3
3116,"KS","Lawrence",1
3116,"TN","Murfreesboro",2
3116,"TN","Nashville",5
3116,"BA","Nassau",2
3116,"AR","North Little Rock",2
3116,"MS","Oxford",4
3116,"NV","Reno",2
3116,"UT","Salt Lake City",1
3116,"MO","Springfield",1
3116,"MS","Starkville",1
3116,"OK","Tulsa",6
3116,"AL","Tuscaloosa",7
3116,"TX","Waco",1
3117,"TX","Arlington",4
3117,"GA","Atlanta",4
3117,"NC","Boone",1
3117,"KY","Bowling Green",3
3117,"TN","Clarksville",1
3117,"AR","Conway",1
3117,"SC","Conway",1
3117,"TN","Cookeville",1
3117,"TX","Corpus Christi",1
3117,"TX","Dallas",1
3117,"TX","Denton",2
3117,"TX","El Paso",1
3117,"AZ","Flagstaff",1
3117,"FL","Fort Myers",1
3117,"FL","Gainesville",1
3117,"AR","Hot Springs",3
3117,"AR","Jonesboro",101
3117,"OH","Kent",1
3117,"LA","Lafayette",5
3117,"NV","Las Vegas",1
3117,"KS","Manhattan",1
3117,"TN","Martin",1
3117,"FL","Miami",2
3117,"AL","Mobile",5
3117,"LA","Monroe",6
3117,"TX","Nacogdoches",1
3117,"LA","New Orleans",6
3117,"LA","Ruston",1
3117,"CA","San Diego",1
3117,"TX","San Marcos",3
3117,"MO","Springfield",1
3117,"GA","Statesboro",3
3117,"AL","Troy",4
3119,"MD","Annapolis",5
3119,"MD","Baltimore",6
3119,"PA","Bethlehem",5
3119,"MA","Boston",5
3119,"NY","Brooklyn",2
3119,"NY","Brooklyn Heights",3
3119,"PA","Easton",7
3119,"NJ","Hackensack",2
3119,"NY","Hamilton",6
3119,"NH","Hanover",1
3119,"PA","Lewisburg",2
3119,"CA","Malibu",1
3119,"CT","New Britain",1
3119,"CT","New Haven",3
3119,"NY","New York",1
3119,"DE","Newark",1
3119,"NJ","Newark",1
3119,"UT","Ogden",1
3119,"NY","Riverdale",2
3119,"CA","Santa Barbara",1
3119,"NY","Staten Island",2
3119,"NY","Stony Brook",1
3119,"CO","USAF Academy",3
3119,"DC","Washington",3
3119,"NY","West Point",111
3119,"MA","Worcester",6
3120,"NM","Albuquerque",1
3120,"GA","Athens",2
3120,"AL","Auburn",95
3120,"LA","Baton Rouge",3
3120,"IN","Bloomington",1
3120,"CO","Boulder",1
3120,"IL","Chicago",1
3120,"MO","Columbia",1
3120,"GA","Duluth",2
3120,"NC","Elon",1
3120,"FL","Estero",1
3120,"AR","Fayetteville",4
3120,"BA","Freeport",1
3120,"FL","Gainesville",2
3120,"NC","Greensboro",2
3120,"NC","Greenville",1
3120,"SC","Greenville",2
3120,"PR","Guaynabo",1
3120,"LA","Hammond",1
3120,"NY","Hempstead",1
3120,"FL","Jacksonville",1
3120,"LA","Lafayette",1
3120,"NV","Las Vegas",1
3120,"GA","Macon",1
3120,"FL","Miami",2
3120,"MN","Minneapolis",1
3120,"AL","Mobile",2
3120,"SC","Myrtle Beach",2
3120,"TN","Nashville",5
3120,"LA","New Orleans",2
3120,"AL","Normal",1
3120,"AR","North Little Rock",1
3120,"MS","Oxford",3
3120,"PA","Philadelphia",1
3120,"NY","Queens",1
3120,"NC","Raleigh",1
3120,"LA","Ruston",1
3120,"CA","San Diego",1
3120,"GA","Savannah",3
3120,"MS","Starkville",1
3120,"FL","Tallahassee",1
3120,"MD","Towson",2
3120,"AL","Tuscaloosa",6
3120,"TX","Waco",1
3120,"DC","Washington",2
3122,"TX","Beaumont",1
3122,"MO","Cape Girardeau",6
3122,"IL","Carbondale",1
3122,"IL","Charleston",5
3122,"TN","Chattanooga",1
3122,"TN","Clarksville",69
3122,"TN","Cookeville",3
3122,"IL","Edwardsville",3
3122,"KY","Highland Heights",1
3122,"AL","Huntsville",1
3122,"MS","Itta Bena",1
3122,"AL","Jacksonville",5
3122,"FL","Miami",2
3122,"MT","Missoula",1
3122,"KY","Morehead",3
3122,"KY","Murray",4
3122,"TN","Nashville",12
3122,"AL","Normal",2
3122,"AR","Pine Bluff",1
3122,"KY","Richmond",3
3123,"OH","Akron",3
3123,"NM","Albuquerque",3
3123,"OH","Athens",1
3123,"CO","Boulder",1
3123,"KY","Bowling Green",1
3123,"OH","Bowling Green",5
3123,"NY","Buffalo",4
3123,"OH","Cleveland",4
3123,"FL","Daytona Beach",1
3123,"IL","DeKalb",8
3123,"MI","Detroit",1
3123,"IL","Edwardsville",1
3123,"IN","Evansville",2
3123,"IN","Fort Wayne",2
3123,"ND","Grand Forks",1
3123,"KY","Highland Heights",1
3123,"IN","Indianapolis",1
3123,"MI","Kalamazoo",7
3123,"OH","Kent",2
3123,"NV","Las Vegas",1
3123,"MI","Mt. Pleasant",2
3123,"IN","Muncie",96
3123,"TN","Nashville",3
3123,"OH","Oxford",3
3123,"BA","Paradise Island",1
3123,"PA","Pittsburgh",1
3123,"MI","Rochester",1
3123,"GA","Savannah",1
3123,"OH","Toledo",4
3123,"IN","Valparaiso",1
3123,"IN","West Lafayette",1
3123,"MI","Ypsilanti",6
3124,"IA","Ames",7
3124,"TX","Austin",10
3124,"CA","Berkeley",3
3124,"BA","Bimini",2
3124,"CO","Boulder",1
3124,"OH","Bowling Green",2
3124,"TX","College Station",3
3124,"SC","Columbia",1
3124,"AR","Conway",1
3124,"TX","Dallas",8
3124,"CO","Denver",2
3124,"IA","Des Moines",2
3124,"FL","Fort Myers",3
3124,"TX","Fort Worth",8
3124,"BA","Freeport",2
3124,"NC","Greensboro",2
3124,"CT","Hartford",1
3124,"HI","Honolulu",2
3124,"TX","Houston",1
3124,"MO","Kansas City",7
3124,"TN","Knoxville",2
3124,"NV","Las Vegas",4
3124,"KS","Lawrence",9
3124,"NE","Lincoln",1
3124,"TX","Lubbock",10
3124,"KS","Manhattan",10
3124,"CT","Mansfield",1
3124,"TN","Memphis",2
3124,"MN","Minneapolis",1
3124,"WV","Morgantown",8
3124,"BA","Nassau",2
3124,"NY","New York",2
3124,"OK","Norman",9
3124,"IN","Notre Dame",2
3124,"OK","Oklahoma City",16
3124,"MS","Oxford",1
3124,"VI","St. Thomas",2
3124,"OK","Stillwater",9
3124,"FL","Tampa",2
3124,"AZ","Tempe",1
3124,"LA","Thibodaux",1
3124,"TX","Waco",198
3124,"FL","Winter Park",4
3125,"AL","Birmingham",2
3125,"IN","Bloomington",1
3125,"NC","Buies Creek",2
3125,"MO","Cape Girardeau",4
3125,"IL","Charleston",2
3125,"TN","Chattanooga",1
3125,"TN","Clarksville",4
3125,"SC","Clinton",1
3125,"AR","Conway",1
3125,"TN","Cookeville",7
3125,"TX","Corpus Christi",1
3125,"OH","Dayton",1
3125,"FL","DeLand",2
3125,"CO","Denver",1
3125,"IL","Edwardsville",1
3125,"IN","Evansville",7
3125,"AZ","Flagstaff",1
3125,"IN","Fort Wayne",1
3125,"KY","Highland Heights",1
3125,"AL","Jacksonville",6
3125,"FL","Jacksonville",3
3125,"TN","Johnson City",1
3125,"AR","Jonesboro",1
3125,"GA","Kennesaw",3
3125,"CA","Los Angeles",1
3125,"GA","Macon",2
3125,"TN","Martin",2
3125,"KY","Morehead",7
3125,"TN","Murfreesboro",1
3125,"KY","Murray",5
3125,"TN","Nashville",122
3125,"AL","Normal",1
3125,"NV","Paradise",2
3125,"KY","Richmond",7
3125,"SC","Rock Hill",1
3125,"OK","Tulsa",1
3125,"NC","Winston-Salem",1
3126,"GA","Atlanta",1
3126,"MD","Baltimore",10
3126,"FL","Boca Raton",1
3126,"NC","Cullowhee",1
3126,"FL","Daytona Beach",75
3126,"FL","DeLand",9
3126,"DE","Dover",4
3126,"NC","Durham",9
3126,"NC","Greensboro",2
3126,"VA","Hampton",1
3126,"FL","Jacksonville",4
3126,"LA","Lafayette",1
3126,"FL","Miami",2
3126,"VA","Norfolk",12
3126,"SC","North Charleston",1
3126,"SC","Orangeburg",7
3126,"MD","Princess Anne",4
3126,"GA","Savannah",5
3126,"FL","Tallahassee",5
3126,"DC","Washington",4
3126,"NC","Winston-Salem",2
3127,"OH","Akron",1
3127,"NY","Albany",2
3127,"NM","Albuquerque",1
3127,"MA","Amherst",1
3127,"AK","Anchorage",1
3127,"MD","Baltimore",5
3127,"ME","Bangor",1
3127,"NY","Bronx",1
3127,"NY","Buffalo",1
3127,"VT","Burlington",5
3127,"UT","Cedar City",1
3127,"DE","Dover",1
3127,"NH","Durham",7
3127,"MD","Emmitsburg",1
3127,"NJ","Hackensack",2
3127,"NH","Hanover",2
3127,"NY","Ithaca",3
3127,"NJ","Jersey City",1
3127,"NJ","Lawrenceville",2
3127,"NY","Loudonville",2
3127,"MA","Lowell",6
3127,"FL","Miami",1
3127,"MN","Minneapolis",1
3127,"NJ","Newark",1
3127,"ME","Orono",2
3127,"PA","Philadelphia",1
3127,"RI","Smithfield",2
3127,"NY","Stony Brook",3
3127,"NY","Vestal",65
3127,"CT","West Hartford",5
3127,"NY","West Point",1
3129,"NM","Albuquerque",4
3129,"AK","Anchorage",1
3129,"AL","Birmingham",1
3129,"ID","Boise",104
3129,"WA","Cheney",4
3129,"CO","Fort Collins",6
3129,"CA","Fresno",2
3129,"PR","Guaynabo",1
3129,"WY","Laramie",2
3129,"NM","Las Cruces",1
3129,"NV","Las Vegas",21
3129,"UT","Logan",6
3129,"CA","Long Beach",2
3129,"CA","Moraga",2
3129,"UT","Ogden",1
3129,"UT","Orem",3
3129,"ID","Pocatello",2
3129,"OR","Portland",2
3129,"WA","Pullman",1
3129,"NV","Reno",6
3129,"CA","San Diego",4
3129,"CA","San Jose",7
3129,"WA","Seattle",4
3129,"CO","USAF Academy",8
3130,"MA","Amherst",1
3130,"GA","Atlanta",1
3130,"ME","Bangor",1
3130,"VA","Blacksburg",2
3130,"MA","Boston",15
3130,"CO","Boulder",1
3130,"VT","Burlington",2
3130,"MX","Cancun",1
3130,"NC","Chapel Hill",2
3130,"VA","Charlottesville",1
3130,"MA","Chestnut Hill",77
3130,"SC","Clemson",3
3130,"MD","College Park",1
3130,"TX","Dallas",2
3130,"BA","Freeport",3
3130,"NC","Greensboro",6
3130,"NY","Hempstead",1
3130,"TX","Houston",1
3130,"IA","Iowa City",1
3130,"RI","Kingston",1
3130,"CA","Moraga",1
3130,"CT","New Haven",1
3130,"IN","Notre Dame",1
3130,"PA","Philadelphia",2
3130,"PA","Pittsburgh",2
3130,"RI","Providence",2
3130,"CA","San Diego",1
3130,"PR","San Juan",1
3130,"WA","Seattle",1
3130,"NY","Syracuse",1
3130,"FL","Tallahassee",1
3130,"CT","West Hartford",1
3130,"IN","West Lafayette",1
3130,"NC","Winston-Salem",2
3130,"MA","Worcester",2
3131,"NY","Albany",4
3131,"NM","Albuquerque",1
3131,"MA","Amherst",1
3131,"MD","Annapolis",1
3131,"MD","Baltimore",6
3131,"ME","Bangor",1
3131,"PA","Bethlehem",3
3131,"MA","Boston",83
3131,"NY","Bronx",1
3131,"NY","Brooklyn",1
3131,"VT","Burlington",5
3131,"MA","Chestnut Hill",1
3131,"NH","Durham",6
3131,"PA","Easton",3
3131,"NY","Hamilton",4
3131,"CT","Hartford",1
3131,"RI","Kingston",1
3131,"PA","Lewisburg",1
3131,"CT","New Haven",1
3131,"DE","Newark",1
3131,"ME","Orono",4
3131,"PA","Philadelphia",1
3131,"NY","Poughkeepsie",1
3131,"RI","Providence",1
3131,"RI","Smithfield",1
3131,"NY","Stony Brook",4
3131,"NY","Vestal",3
3131,"CT","West Hartford",6
3131,"NY","West Point",4
3131,"MA","Worcester",3
3131,"MI","Ypsilanti",1
3132,"OH","Akron",6
3132,"MA","Amherst",1
3132,"OH","Athens",4
3132,"FL","Boca Raton",2
3132,"KY","Bowling Green",1
3132,"OH","Bowling Green",90
3132,"NY","Buffalo",8
3132,"TN","Clarksville",1
3132,"OH","Cleveland",7
3132,"OH","Columbus",2
3132,"IL","DeKalb",3
3132,"MI","Detroit",3
3132,"IL","Evanston",1
3132,"CO","Fort Collins",1
3132,"WV","Huntington",1
3132,"IN","Indianapolis",2
3132,"PA","Johnstown",1
3132,"OH","Kent",5
3132,"WY","Laramie",1
3132,"NV","Las Vegas",1
3132,"CA","Los Angeles",1
3132,"KY","Louisville",1
3132,"WI","Milwaukee",2
3132,"PA","Moon Township",1
3132,"MI","Mt. Pleasant",1
3132,"IN","Muncie",3
3132,"TN","Nashville",1
3132,"NY","New Rochelle",2
3132,"NY","Niagara Falls",1
3132,"IL","Normal",1
3132,"OH","Oxford",7
3132,"IL","Peoria",1
3132,"MI","Rochester",1
3132,"WA","Seattle",2
3132,"MA","Springfield",2
3132,"OH","Toledo",1
3132,"IN","Valparaiso",1
3132,"BC","Victoria",1
3132,"NC","Wilmington",1
3132,"OH","Youngstown",2
3132,"MI","Ypsilanti",3
3133,"FL","Boca Raton",2
3133,"MX","Cancun",1
3133,"MO","Cape Girardeau",2
3133,"IL","Carbondale",4
3133,"IL","Champaign",1
3133,"IL","Charleston",3
3133,"IL","Chicago",7
3133,"OH","Cleveland",1
3133,"SC","Conway",2
3133,"OH","Dayton",1
3133,"IL","DeKalb",1
3133,"IA","Des Moines",1
3133,"MI","Detroit",1
3133,"IL","East Peoria",9
3133,"IL","Edwardsville",1
3133,"IN","Evansville",7
3133,"AZ","Flagstaff",1
3133,"IN","Indianapolis",1
3133,"MO","Kansas City",1
3133,"NV","Las Vegas",1
3133,"IL","Macomb",2
3133,"WI","Milwaukee",1
3133,"IL","Moline",3
3133,"MI","Mt. Pleasant",1
3133,"IL","Normal",5
3133,"NE","Omaha",2
3133,"IL","Peoria",67
3133,"MI","Rochester",1
3133,"SC","Rock Hill",2
3133,"MO","Springfield",3
3133,"MO","St. Charles",2
3133,"MO","St. Louis",1
3133,"IN","Terre Haute",2
3133,"CO","USAF Academy",1
3133,"IN","Valparaiso",3
3133,"KS","Wichita",3
3135,"IA","Ames",1
3135,"MD","Annapolis",1
3135,"MD","Baltimore",2
3135,"VT","Burlington",2
3135,"MA","Cambridge",1
3135,"IL","Chicago",1
3135,"MD","College Park",1
3135,"FL","Daytona Beach",1
3135,"NH","Durham",2
3135,"CT","Fairfield",2
3135,"NJ","Hackensack",1
3135,"NY","Hamilton",1
3135,"NH","Hanover",7
3135,"NY","Ithaca",4
3135,"NJ","Jersey City",1
3135,"OH","Kent",1
3135,"RI","Kingston",3
3135,"FL","Miami",1
3135,"CT","New Britain",2
3135,"CT","New Haven",2
3135,"NY","New York",5
3135,"NJ","Newark",1
3135,"ME","Orono",2
3135,"PA","Philadelphia",2
3135,"NJ","Princeton",1
3135,"RI","Providence",60
3135,"CA","San Jose",1
3135,"RI","Smithfield",4
3135,"CA","Stockton",2
3135,"NY","Vestal",1
3135,"DC","Washington",1
3135,"NJ","West Long Branch",1
3135,"MA","Worcester",1
3136,"NY","Brooklyn",6
3136,"NY","Brooklyn Heights",6
3136,"VT","Burlington",2
3136,"NH","Durham",1
3136,"MD","Emmitsburg",6
3136,"CT","Fairfield",2
3136,"NJ","Hackensack",7
3136,"CT","Hamden",1
3136,"NY","Hamilton",2
3136,"NH","Hanover",2
3136,"PA","Loretto",2
3136,"MA","Lowell",2
3136,"CT","New Britain",4
3136,"NY","New Rochelle",1
3136,"NY","New York",1
3136,"ME","Orono",1
3136,"RI","Providence",5
3136,"RI","Smithfield",89
3136,"NY","Staten Island",10
3136,"CO","USAF Academy",1
3136,"NJ","West Long Branch",2
3137,"OH","Akron",1
3137,"MD","Annapolis",6
3137,"MD","Baltimore",7
3137,"PA","Bethlehem",7
3137,"MA","Boston",5
3137,"OH","Bowling Green",1
3137,"NY","Buffalo",1
3137,"OH","Cleveland",1
3137,"PA","Easton",9
3137,"MD","Emmitsburg",1
