"teamid","teamname","wtotal_games_per_team"
3315,"North Dakota",333
3316,"North Florida",432
3317,"North Texas",660
3318,"Northeastern",683
3319,"Northern Arizona",661
3320,"Northern Iowa",682
3321,"Northwestern",682
3322,"Northwestern LA",616
3323,"Notre Dame",710
3324,"Oakland",627
3325,"Ohio",680
3326,"Ohio St",703
3328,"Oklahoma",701
3329,"Oklahoma St",678
3330,"Old Dominion",706
3331,"Oral Roberts",642
3332,"Oregon",689
3333,"Oregon St",672
3334,"Pacific",668
3335,"Penn",626
3336,"Penn St",690
3337,"Pepperdine",675
3338,"Pittsburgh",671
3339,"Portland",669
3340,"Portland St",630
3341,"Prairie View",646
3342,"Presbyterian",368
3343,"Princeton",643
3344,"Providence",663
3345,"Purdue",707
3346,"Quinnipiac",661
3347,"Radford",643
3348,"Rhode Island",661
3349,"Rice",695
3350,"Richmond",687
3351,"Rider",678
3352,"Robert Morris",672
3353,"Rutgers",695
3354,"S Carolina St",644
3355,"S Dakota St",459
3356,"S Illinois",659
3357,"Sacred Heart",629
3358,"Sam Houston St",621
3359,"Samford",663
3360,"San Diego",660
3361,"San Diego St",659
3362,"San Francisco",671
3363,"San Jose St",666
3364,"UC Santa Barbara",698
3365,"Santa Clara",674
3366,"Savannah St",471
3367,"SC Upstate",366
3368,"SE Louisiana",608
3369,"SE Missouri St",633
3370,"Seattle",326
3371,"Seton Hall",674
3372,"SF Austin",660
3373,"Siena",682
3374,"SMU",687
3375,"South Alabama",656
3376,"South Carolina",687
3377,"South Dakota",294
3378,"South Florida",689
3379,"Southern Miss",662
3380,"Southern Univ",630
3381,"Southern Utah",629
3382,"St Bonaventure",679
3383,"St Francis NY",660
3384,"St Francis PA",689
3385,"St John's",681
3386,"St Joseph's PA",690
3387,"St Louis",674
3388,"St Mary's CA",683
3389,"St Peter's",679
3390,"Stanford",716
3391,"Stetson",661
3392,"Stony Brook",614
3393,"Syracuse",681
3394,"TAM C. Christi",581
3395,"TCU",692
3396,"Temple",694
3397,"Tennessee",718
3398,"Tennessee St",621
3399,"Tennessee Tech",669
3400,"Texas",710
3401,"Texas A&M",697
3402,"Texas St",623
3403,"Texas Tech",699
3404,"TN Martin",676
3405,"Toledo",689
3406,"Towson",673
3407,"Troy",649
3408,"Tulane",685
3409,"Tulsa",667
3410,"UTRGV",602
3411,"TX Southern",650
3412,"UAB",675
3413,"UC Davis",468
3414,"UC Irvine",670
3415,"UC Riverside",568
3416,"UCF",684
3417,"UCLA",697
3418,"Louisiana",659
3419,"ULM",652
3420,"UMBC",661
3421,"UNC Asheville",645
3422,"UNC Greensboro",663
3423,"UNC Wilmington",673
3424,"UNLV",682
3425,"USC",684
3426,"UT Arlington",659
3427,"UT San Antonio",648
3428,"Utah",684
3429,"Utah St",494
3430,"Utah Valley",436
3431,"UTEP",658
3433,"VCU",687
3434,"Valparaiso",667
3435,"Vanderbilt",702
3436,"Vermont",678
3437,"Villanova",686
3438,"Virginia",694
3439,"Virginia Tech",682
3441,"W Carolina",670
3442,"W Illinois",623
3443,"WKU",702
3444,"W Michigan",683
3445,"W Salem St",111
3447,"Wagner",659
3448,"Wake Forest",686
3449,"Washington",682
3450,"Washington St",678
3451,"Weber St",648
3452,"West Virginia",696
3453,"WI Green Bay",698
3454,"WI Milwaukee",677
3455,"Wichita St",684
3456,"William & Mary",670
3457,"Winthrop",645
3458,"Wisconsin",676
3459,"Wofford",630
3460,"Wright St",679
3461,"Wyoming",633
3462,"Xavier",686
3463,"Yale",627
3464,"Youngstown St",659
3465,"Cal Baptist",53
3466,"North Alabama",51
3467,"Merrimack",27
