"teamid","teamname","season","total_won_home","total_games","percent_won"
3104,"Alabama",1999,"9","19","47.37"
3104,"Alabama",2000,"7","15","46.67"
3104,"Alabama",2001,"9","18","50.00"
3104,"Alabama",2002,"9","16","56.25"
3104,"Alabama",2003,"5","13","38.46"
3104,"Alabama",2004,"7","12","58.33"
3104,"Alabama",2005,"9","14","64.29"
3104,"Alabama",2006,"8","9","88.89"
3104,"Alabama",2007,"9","10","90.00"
3104,"Alabama",2008,"6","8","75.00"
3104,"Alabama",2009,"10","13","76.92"
3104,"Alabama",2010,"7","12","58.33"
3104,"Alabama",2011,"8","16","50.00"
3104,"Alabama",2015,"10","13","76.92"
3104,"Alabama",2016,"13","15","86.67"
3104,"Alabama",2017,"13","19","68.42"
3104,"Alabama",2018,"11","17","64.71"
3104,"Alabama",2019,"9","14","64.29"
3104,"Alabama",2020,"10","18","55.56"
3105,"Alabama A&M",1999,"3","7","42.86"
3105,"Alabama A&M",2000,"6","7","85.71"
3105,"Alabama A&M",2001,"4","7","57.14"
3105,"Alabama A&M",2002,"5","11","45.45"
3105,"Alabama A&M",2003,"6","8","75.00"
3105,"Alabama A&M",2004,"6","12","50.00"
3105,"Alabama A&M",2005,"8","15","53.33"
3105,"Alabama A&M",2006,"7","12","58.33"
3105,"Alabama A&M",2007,"9","16","56.25"
3105,"Alabama A&M",2008,"8","14","57.14"
3105,"Alabama A&M",2009,"7","10","70.00"
3105,"Alabama A&M",2010,"7","14","50.00"
3105,"Alabama A&M",2011,"7","13","53.85"
3105,"Alabama A&M",2012,"10","16","62.50"
3105,"Alabama A&M",2013,"4","8","50.00"
3105,"Alabama A&M",2014,"5","6","83.33"
3105,"Alabama A&M",2015,"5","6","83.33"
3105,"Alabama A&M",2016,"2","4","50.00"
3105,"Alabama A&M",2018,"6","11","54.55"
3105,"Alabama A&M",2019,"6","13","46.15"
3105,"Alabama A&M",2020,"8","17","47.06"
3106,"Alabama St",1998,"5","6","83.33"
3106,"Alabama St",1999,"10","13","76.92"
3106,"Alabama St",2000,"7","11","63.64"
3106,"Alabama St",2001,"11","17","64.71"
3106,"Alabama St",2002,"14","22","63.64"
3106,"Alabama St",2003,"10","19","52.63"
3106,"Alabama St",2004,"10","19","52.63"
3106,"Alabama St",2005,"10","15","66.67"
3106,"Alabama St",2006,"7","14","50.00"
3106,"Alabama St",2007,"6","10","60.00"
3106,"Alabama St",2008,"7","11","63.64"
3106,"Alabama St",2009,"8","14","57.14"
3106,"Alabama St",2010,"7","12","58.33"
3106,"Alabama St",2011,"3","6","50.00"
3106,"Alabama St",2012,"9","13","69.23"
3106,"Alabama St",2013,"5","7","71.43"
3106,"Alabama St",2014,"8","13","61.54"
3106,"Alabama St",2015,"6","14","42.86"
3106,"Alabama St",2016,"8","18","44.44"
3106,"Alabama St",2017,"7","13","53.85"
3106,"Alabama St",2018,"5","7","71.43"
3106,"Alabama St",2019,"6","10","60.00"
3106,"Alabama St",2020,"3","7","42.86"
3107,"SUNY Albany",2000,"4","8","50.00"
3107,"SUNY Albany",2001,"2","4","50.00"
3107,"SUNY Albany",2002,"1","4","25.00"
3107,"SUNY Albany",2003,"7","9","77.78"
3107,"SUNY Albany",2004,"7","13","53.85"
3107,"SUNY Albany",2005,"6","14","42.86"
3107,"SUNY Albany",2006,"4","7","57.14"
3107,"SUNY Albany",2007,"6","9","66.67"
3107,"SUNY Albany",2008,"7","13","53.85"
3107,"SUNY Albany",2009,"3","6","50.00"
3107,"SUNY Albany",2010,"7","11","63.64"
3107,"SUNY Albany",2011,"6","16","37.50"
3107,"SUNY Albany",2012,"11","23","47.83"
3107,"SUNY Albany",2013,"13","27","48.15"
3107,"SUNY Albany",2014,"15","28","53.57"
3107,"SUNY Albany",2015,"10","24","41.67"
3107,"SUNY Albany",2016,"12","27","44.44"
3107,"SUNY Albany",2017,"14","20","70.00"
3107,"SUNY Albany",2018,"12","24","50.00"
3107,"SUNY Albany",2019,"7","13","53.85"
3107,"SUNY Albany",2020,"5","8","62.50"
3108,"Alcorn St",1998,"7","12","58.33"
3108,"Alcorn St",1999,"9","14","64.29"
3108,"Alcorn St",2000,"11","21","52.38"
3108,"Alcorn St",2001,"13","20","65.00"
3108,"Alcorn St",2002,"8","13","61.54"
3108,"Alcorn St",2003,"9","18","50.00"
3108,"Alcorn St",2004,"8","12","66.67"
3108,"Alcorn St",2005,"11","20","55.00"
3108,"Alcorn St",2006,"6","11","54.55"
3108,"Alcorn St",2007,"10","15","66.67"
3108,"Alcorn St",2008,"7","12","58.33"
3108,"Alcorn St",2009,"3","5","60.00"
3108,"Alcorn St",2010,"7","8","87.50"
3108,"Alcorn St",2011,"7","13","53.85"
3108,"Alcorn St",2012,"6","14","42.86"
3108,"Alcorn St",2014,"5","8","62.50"
3108,"Alcorn St",2015,"6","10","60.00"
3108,"Alcorn St",2016,"5","9","55.56"
3108,"Alcorn St",2017,"6","9","66.67"
3108,"Alcorn St",2018,"4","9","44.44"
3108,"Alcorn St",2019,"2","3","66.67"
3108,"Alcorn St",2020,"7","11","63.64"
3110,"American Univ",1998,"13","21","61.90"
3110,"American Univ",1999,"7","11","63.64"
3110,"American Univ",2000,"8","12","66.67"
3110,"American Univ",2001,"4","4","100.00"
3110,"American Univ",2002,"8","12","66.67"
3110,"American Univ",2003,"10","18","55.56"
3110,"American Univ",2004,"7","16","43.75"
3110,"American Univ",2005,"7","12","58.33"
3110,"American Univ",2006,"4","7","57.14"
3110,"American Univ",2007,"7","13","53.85"
3110,"American Univ",2008,"8","18","44.44"
3110,"American Univ",2009,"12","19","63.16"
3110,"American Univ",2010,"11","22","50.00"
3110,"American Univ",2011,"10","22","45.45"
3110,"American Univ",2012,"11","23","47.83"
3110,"American Univ",2013,"8","15","53.33"
3110,"American Univ",2014,"12","22","54.55"
3110,"American Univ",2015,"12","24","50.00"
3110,"American Univ",2016,"5","8","62.50"
3110,"American Univ",2017,"10","15","66.67"
3110,"American Univ",2018,"16","26","61.54"
3110,"American Univ",2019,"13","22","59.09"
3110,"American Univ",2020,"9","13","69.23"
3111,"Appalachian St",1998,"5","9","55.56"
3111,"Appalachian St",1999,"6","13","46.15"
3111,"Appalachian St",2000,"6","13","46.15"
3111,"Appalachian St",2001,"4","6","66.67"
3111,"Appalachian St",2002,"6","10","60.00"
3111,"Appalachian St",2003,"6","9","66.67"
3111,"Appalachian St",2004,"5","7","71.43"
3111,"Appalachian St",2005,"6","11","54.55"
3111,"Appalachian St",2006,"8","14","57.14"
3111,"Appalachian St",2007,"6","13","46.15"
3111,"Appalachian St",2008,"3","7","42.86"
3111,"Appalachian St",2009,"5","9","55.56"
3111,"Appalachian St",2010,"9","19","47.37"
3111,"Appalachian St",2011,"11","25","44.00"
3111,"Appalachian St",2012,"11","25","44.00"
3111,"Appalachian St",2013,"9","19","47.37"
3111,"Appalachian St",2014,"6","12","50.00"
3111,"Appalachian St",2015,"9","13","69.23"
3111,"Appalachian St",2016,"6","10","60.00"
3111,"Appalachian St",2017,"5","12","41.67"
3111,"Appalachian St",2018,"4","8","50.00"
3111,"Appalachian St",2019,"11","18","61.11"
3111,"Appalachian St",2020,"6","11","54.55"
3112,"Arizona",1998,"14","21","66.67"
3112,"Arizona",1999,"11","17","64.71"
3112,"Arizona",2000,"12","24","50.00"
3112,"Arizona",2001,"15","18","83.33"
3112,"Arizona",2002,"9","14","64.29"
3112,"Arizona",2003,"13","22","59.09"
3112,"Arizona",2004,"14","24","58.33"
3112,"Arizona",2005,"9","19","47.37"
3112,"Arizona",2006,"5","8","62.50"
3112,"Arizona",2007,"6","11","54.55"
3112,"Arizona",2008,"5","10","50.00"
3112,"Arizona",2009,"6","12","50.00"
3112,"Arizona",2010,"8","14","57.14"
3112,"Arizona",2011,"11","21","52.38"
3112,"Arizona",2012,"7","14","50.00"
3112,"Arizona",2013,"5","12","41.67"
3112,"Arizona",2014,"4","5","80.00"
3112,"Arizona",2015,"8","10","80.00"
3112,"Arizona",2016,"8","13","61.54"
3112,"Arizona",2017,"9","14","64.29"
3112,"Arizona",2018,"5","6","83.33"
3112,"Arizona",2019,"11","18","61.11"
3112,"Arizona",2020,"13","24","54.17"
3113,"Arizona St",1998,"6","9","66.67"
3113,"Arizona St",1999,"7","12","58.33"
3113,"Arizona St",2000,"11","14","78.57"
3113,"Arizona St",2001,"12","19","63.16"
3113,"Arizona St",2002,"16","24","66.67"
3113,"Arizona St",2003,"12","15","80.00"
3113,"Arizona St",2004,"13","17","76.47"
3113,"Arizona St",2005,"11","22","50.00"
3113,"Arizona St",2006,"16","24","66.67"
3113,"Arizona St",2007,"15","28","53.57"
3113,"Arizona St",2008,"12","21","57.14"
3113,"Arizona St",2009,"13","23","56.52"
3113,"Arizona St",2010,"10","17","58.82"
3113,"Arizona St",2011,"11","20","55.00"
3113,"Arizona St",2012,"12","20","60.00"
3113,"Arizona St",2013,"7","13","53.85"
3113,"Arizona St",2014,"13","22","59.09"
3113,"Arizona St",2015,"15","27","55.56"
3113,"Arizona St",2016,"13","25","52.00"
3113,"Arizona St",2017,"12","19","63.16"
3113,"Arizona St",2018,"13","21","61.90"
3113,"Arizona St",2019,"11","20","55.00"
3113,"Arizona St",2020,"14","20","70.00"
3114,"Ark Little Rock",2000,"4","5","80.00"
3114,"Ark Little Rock",2001,"2","5","40.00"
3114,"Ark Little Rock",2002,"6","8","75.00"
3114,"Ark Little Rock",2003,"3","4","75.00"
3114,"Ark Little Rock",2004,"8","10","80.00"
3114,"Ark Little Rock",2005,"2","10","20.00"
3114,"Ark Little Rock",2006,"9","13","69.23"
3114,"Ark Little Rock",2007,"13","19","68.42"
3114,"Ark Little Rock",2008,"13","22","59.09"
3114,"Ark Little Rock",2009,"15","25","60.00"
3114,"Ark Little Rock",2010,"15","26","57.69"
3114,"Ark Little Rock",2011,"15","23","65.22"
3114,"Ark Little Rock",2012,"12","20","60.00"
3114,"Ark Little Rock",2013,"13","24","54.17"
3114,"Ark Little Rock",2014,"13","18","72.22"
3114,"Ark Little Rock",2015,"14","28","50.00"
3114,"Ark Little Rock",2016,"10","20","50.00"
3114,"Ark Little Rock",2017,"12","24","50.00"
3114,"Ark Little Rock",2018,"12","23","52.17"
3114,"Ark Little Rock",2019,"10","21","47.62"
3114,"Ark Little Rock",2020,"6","12","50.00"
3115,"Ark Pine Bluff",1999,"1","2","50.00"
3115,"Ark Pine Bluff",2000,"2","3","66.67"
3115,"Ark Pine Bluff",2001,"4","5","80.00"
3115,"Ark Pine Bluff",2002,"4","6","66.67"
3115,"Ark Pine Bluff",2003,"2","3","66.67"
3115,"Ark Pine Bluff",2004,"2","3","66.67"
3115,"Ark Pine Bluff",2005,"3","4","75.00"
3115,"Ark Pine Bluff",2006,"4","7","57.14"
3115,"Ark Pine Bluff",2007,"7","11","63.64"
3115,"Ark Pine Bluff",2008,"7","12","58.33"
3115,"Ark Pine Bluff",2009,"7","12","58.33"
3115,"Ark Pine Bluff",2010,"6","8","75.00"
3115,"Ark Pine Bluff",2011,"1","1","100.00"
3115,"Ark Pine Bluff",2012,"1","1","100.00"
3115,"Ark Pine Bluff",2013,"6","11","54.55"
3115,"Ark Pine Bluff",2014,"2","2","100.00"
3115,"Ark Pine Bluff",2015,"3","5","60.00"
3115,"Ark Pine Bluff",2016,"5","6","83.33"
3115,"Ark Pine Bluff",2017,"5","10","50.00"
3115,"Ark Pine Bluff",2018,"4","6","66.67"
3115,"Ark Pine Bluff",2019,"1","2","50.00"
3115,"Ark Pine Bluff",2020,"3","6","50.00"
3116,"Arkansas",1998,"11","17","64.71"
3116,"Arkansas",1999,"10","15","66.67"
3116,"Arkansas",2000,"9","14","64.29"
3116,"Arkansas",2001,"12","18","66.67"
3116,"Arkansas",2002,"14","19","73.68"
3116,"Arkansas",2003,"13","21","61.90"
3116,"Arkansas",2004,"7","16","43.75"
3116,"Arkansas",2005,"10","16","62.50"
3116,"Arkansas",2006,"10","13","76.92"
3116,"Arkansas",2007,"8","18","44.44"
3116,"Arkansas",2008,"11","17","64.71"
3116,"Arkansas",2009,"12","17","70.59"
3116,"Arkansas",2010,"6","12","50.00"
3116,"Arkansas",2011,"11","19","57.89"
3116,"Arkansas",2012,"14","23","60.87"
3116,"Arkansas",2013,"11","19","57.89"
3116,"Arkansas",2014,"14","19","73.68"
3116,"Arkansas",2015,"9","17","52.94"
3116,"Arkansas",2016,"11","12","91.67"
3116,"Arkansas",2017,"9","13","69.23"
3116,"Arkansas",2018,"8","13","61.54"
3116,"Arkansas",2019,"9","20","45.00"
3116,"Arkansas",2020,"16","24","66.67"
3117,"Arkansas St",1998,"12","19","63.16"
3117,"Arkansas St",1999,"11","16","68.75"
3117,"Arkansas St",2000,"9","18","50.00"
3117,"Arkansas St",2001,"8","14","57.14"
3117,"Arkansas St",2002,"6","10","60.00"
3117,"Arkansas St",2003,"6","11","54.55"
3117,"Arkansas St",2004,"11","19","57.89"
3117,"Arkansas St",2005,"12","19","63.16"
3117,"Arkansas St",2006,"10","15","66.67"
3117,"Arkansas St",2007,"13","20","65.00"
3117,"Arkansas St",2008,"13","20","65.00"
3117,"Arkansas St",2009,"9","16","56.25"
3117,"Arkansas St",2010,"9","13","69.23"
3117,"Arkansas St",2011,"9","17","52.94"
3117,"Arkansas St",2012,"9","12","75.00"
3117,"Arkansas St",2013,"10","15","66.67"
3117,"Arkansas St",2014,"11","22","50.00"
3117,"Arkansas St",2015,"13","22","59.09"
3117,"Arkansas St",2016,"13","26","50.00"
3117,"Arkansas St",2017,"5","7","71.43"
3117,"Arkansas St",2018,"9","15","60.00"
3117,"Arkansas St",2019,"9","12","75.00"
3117,"Arkansas St",2020,"7","10","70.00"
3119,"Army",1998,"5","8","62.50"
3119,"Army",2000,"5","8","62.50"
3119,"Army",2001,"10","18","55.56"
3119,"Army",2002,"5","10","50.00"
3119,"Army",2003,"8","13","61.54"
3119,"Army",2004,"9","13","69.23"
3119,"Army",2005,"8","14","57.14"
3119,"Army",2006,"14","19","73.68"
3119,"Army",2007,"11","22","50.00"
3119,"Army",2008,"8","17","47.06"
3119,"Army",2009,"9","19","47.37"
3119,"Army",2010,"7","10","70.00"
3119,"Army",2011,"9","12","75.00"
3119,"Army",2012,"9","13","69.23"
3119,"Army",2013,"10","21","47.62"
3119,"Army",2014,"16","24","66.67"
3119,"Army",2015,"12","22","54.55"
3119,"Army",2016,"16","28","57.14"
3119,"Army",2017,"12","21","57.14"
3119,"Army",2018,"8","16","50.00"
3119,"Army",2019,"6","10","60.00"
3119,"Army",2020,"6","9","66.67"
3120,"Auburn",1998,"8","16","50.00"
3120,"Auburn",1999,"13","19","68.42"
3120,"Auburn",2000,"14","21","66.67"
3120,"Auburn",2001,"13","17","76.47"
3120,"Auburn",2002,"10","15","66.67"
3120,"Auburn",2003,"13","18","72.22"
3120,"Auburn",2004,"13","21","61.90"
3120,"Auburn",2005,"8","16","50.00"
3120,"Auburn",2006,"8","14","57.14"
3120,"Auburn",2007,"8","19","42.11"
3120,"Auburn",2008,"9","20","45.00"
3120,"Auburn",2009,"12","29","41.38"
3120,"Auburn",2010,"8","15","53.33"
3120,"Auburn",2015,"8","13","61.54"
3120,"Auburn",2016,"9","19","47.37"
3120,"Auburn",2017,"7","17","41.18"
3120,"Auburn",2018,"10","13","76.92"
3120,"Auburn",2019,"9","21","42.86"
3120,"Auburn",2020,"7","11","63.64"
3122,"Austin Peay",1998,"7","9","77.78"
3122,"Austin Peay",1999,"4","6","66.67"
3122,"Austin Peay",2000,"4","14","28.57"
3122,"Austin Peay",2001,"9","17","52.94"
3122,"Austin Peay",2002,"9","18","50.00"
3122,"Austin Peay",2003,"12","26","46.15"
3122,"Austin Peay",2004,"9","22","40.91"
3122,"Austin Peay",2005,"6","8","75.00"
3122,"Austin Peay",2006,"8","15","53.33"
3122,"Austin Peay",2007,"7","10","70.00"
3122,"Austin Peay",2008,"3","6","50.00"
3122,"Austin Peay",2009,"9","17","52.94"
3122,"Austin Peay",2010,"9","15","60.00"
3122,"Austin Peay",2011,"8","15","53.33"
3122,"Austin Peay",2012,"4","9","44.44"
3122,"Austin Peay",2013,"3","6","50.00"
3122,"Austin Peay",2014,"3","8","37.50"
3122,"Austin Peay",2015,"4","9","44.44"
3122,"Austin Peay",2016,"7","8","87.50"
3122,"Austin Peay",2017,"8","12","66.67"
3122,"Austin Peay",2018,"8","14","57.14"
3122,"Austin Peay",2019,"9","13","69.23"
3122,"Austin Peay",2020,"7","16","43.75"
3123,"Ball St",1998,"4","9","44.44"
3123,"Ball St",1999,"4","8","50.00"
3123,"Ball St",2000,"8","17","47.06"
3123,"Ball St",2001,"10","19","52.63"
3123,"Ball St",2002,"14","22","63.64"
3123,"Ball St",2003,"7","20","35.00"
3123,"Ball St",2004,"6","13","46.15"
3123,"Ball St",2005,"8","16","50.00"
3123,"Ball St",2006,"11","17","64.71"
3123,"Ball St",2007,"10","24","41.67"
3123,"Ball St",2008,"7","15","46.67"
3123,"Ball St",2009,"14","25","56.00"
3123,"Ball St",2010,"10","14","71.43"
3123,"Ball St",2011,"7","9","77.78"
3123,"Ball St",2012,"6","8","75.00"
3123,"Ball St",2013,"9","15","60.00"
3123,"Ball St",2014,"6","18","33.33"
3123,"Ball St",2015,"10","17","58.82"
3123,"Ball St",2016,"11","20","55.00"
3123,"Ball St",2017,"9","20","45.00"
3123,"Ball St",2018,"13","23","56.52"
3123,"Ball St",2019,"5","7","71.43"
3123,"Ball St",2020,"11","20","55.00"
3124,"Baylor",1998,"11","16","68.75"
3124,"Baylor",1999,"9","16","56.25"
3124,"Baylor",2000,"6","7","85.71"
3124,"Baylor",2001,"12","20","60.00"
3124,"Baylor",2002,"17","26","65.38"
3124,"Baylor",2003,"13","20","65.00"
3124,"Baylor",2004,"12","23","52.17"
3124,"Baylor",2005,"17","27","62.96"
3124,"Baylor",2006,"14","24","58.33"
3124,"Baylor",2007,"16","25","64.00"
3124,"Baylor",2008,"17","24","70.83"
3124,"Baylor",2009,"14","27","51.85"
3124,"Baylor",2010,"15","23","65.22"
3124,"Baylor",2011,"19","31","61.29"
3124,"Baylor",2012,"19","34","55.88"
3124,"Baylor",2013,"16","32","50.00"
3124,"Baylor",2014,"17","29","58.62"
3124,"Baylor",2015,"17","30","56.67"
3124,"Baylor",2016,"18","33","54.55"
3124,"Baylor",2017,"17","30","56.67"
3124,"Baylor",2018,"16","31","51.61"
3124,"Baylor",2019,"15","31","48.39"
3124,"Baylor",2020,"17","28","60.71"
3125,"Belmont",1999,"12","17","70.59"
3125,"Belmont",2000,"7","16","43.75"
3125,"Belmont",2001,"6","10","60.00"
3125,"Belmont",2002,"8","18","44.44"
3125,"Belmont",2003,"8","18","44.44"
3125,"Belmont",2004,"9","16","56.25"
3125,"Belmont",2005,"10","17","58.82"
3125,"Belmont",2006,"12","22","54.55"
3125,"Belmont",2007,"13","25","52.00"
3125,"Belmont",2008,"4","13","30.77"
3125,"Belmont",2009,"11","18","61.11"
3125,"Belmont",2010,"7","15","46.67"
3125,"Belmont",2011,"4","11","36.36"
3125,"Belmont",2012,"8","12","66.67"
3125,"Belmont",2013,"10","18","55.56"
3125,"Belmont",2014,"9","14","64.29"
3125,"Belmont",2015,"6","14","42.86"
3125,"Belmont",2016,"11","22","50.00"
3125,"Belmont",2017,"13","26","50.00"
3125,"Belmont",2018,"12","30","40.00"
3125,"Belmont",2019,"11","26","42.31"
3125,"Belmont",2020,"14","22","63.64"
3126,"Bethune-Cookman",1998,"4","7","57.14"
3126,"Bethune-Cookman",1999,"4","4","100.00"
3126,"Bethune-Cookman",2000,"5","13","38.46"
3126,"Bethune-Cookman",2001,"7","10","70.00"
3126,"Bethune-Cookman",2002,"8","14","57.14"
3126,"Bethune-Cookman",2003,"9","14","64.29"
3126,"Bethune-Cookman",2004,"7","14","50.00"
3126,"Bethune-Cookman",2005,"3","5","60.00"
3126,"Bethune-Cookman",2006,"3","6","50.00"
3126,"Bethune-Cookman",2007,"4","5","80.00"
3126,"Bethune-Cookman",2008,"4","4","100.00"
3126,"Bethune-Cookman",2009,"6","10","60.00"
3126,"Bethune-Cookman",2010,"8","16","50.00"
3126,"Bethune-Cookman",2011,"4","10","40.00"
3126,"Bethune-Cookman",2012,"5","9","55.56"
3126,"Bethune-Cookman",2013,"6","10","60.00"
3126,"Bethune-Cookman",2014,"6","10","60.00"
3126,"Bethune-Cookman",2015,"5","11","45.45"
3126,"Bethune-Cookman",2016,"8","16","50.00"
3126,"Bethune-Cookman",2017,"9","19","47.37"
3126,"Bethune-Cookman",2018,"10","22","45.45"
3126,"Bethune-Cookman",2019,"8","19","42.11"
3126,"Bethune-Cookman",2020,"9","21","42.86"
3127,"Binghamton",2002,"9","16","56.25"
3127,"Binghamton",2003,"5","10","50.00"
3127,"Binghamton",2004,"10","17","58.82"
3127,"Binghamton",2005,"6","10","60.00"
3127,"Binghamton",2006,"12","17","70.59"
3127,"Binghamton",2007,"7","12","58.33"
3127,"Binghamton",2008,"8","11","72.73"
3127,"Binghamton",2009,"6","14","42.86"
3127,"Binghamton",2010,"6","11","54.55"
3127,"Binghamton",2011,"10","19","52.63"
3127,"Binghamton",2012,"5","13","38.46"
3127,"Binghamton",2013,"2","6","33.33"
3127,"Binghamton",2014,"1","5","20.00"
3127,"Binghamton",2015,"3","4","75.00"
3127,"Binghamton",2016,"8","11","72.73"
3127,"Binghamton",2017,"5","11","45.45"
3127,"Binghamton",2018,"7","18","38.89"
3127,"Binghamton",2019,"6","10","60.00"
3127,"Binghamton",2020,"12","21","57.14"
3128,"Birmingham So",2002,"8","14","57.14"
3128,"Birmingham So",2003,"7","14","50.00"
3128,"Birmingham So",2004,"6","13","46.15"
3128,"Birmingham So",2005,"7","11","63.64"
3128,"Birmingham So",2006,"6","11","54.55"
3128,"Birmingham So",2007,"4","7","57.14"
3129,"Boise St",1998,"12","19","63.16"
3129,"Boise St",1999,"7","13","53.85"
3129,"Boise St",2000,"9","15","60.00"
3129,"Boise St",2001,"8","12","66.67"
3129,"Boise St",2002,"7","10","70.00"
3129,"Boise St",2003,"6","10","60.00"
3129,"Boise St",2004,"4","8","50.00"
3129,"Boise St",2005,"8","10","80.00"
3129,"Boise St",2006,"9","15","60.00"
3129,"Boise St",2007,"12","24","50.00"
3129,"Boise St",2008,"13","23","56.52"
3129,"Boise St",2009,"9","15","60.00"
3129,"Boise St",2010,"12","18","66.67"
3129,"Boise St",2011,"6","11","54.55"
3129,"Boise St",2012,"8","13","61.54"
3129,"Boise St",2013,"5","9","55.56"
3129,"Boise St",2014,"10","15","66.67"
3129,"Boise St",2015,"11","20","55.00"
3129,"Boise St",2016,"8","17","47.06"
3129,"Boise St",2017,"12","23","52.17"
3129,"Boise St",2018,"9","21","42.86"
3129,"Boise St",2019,"12","26","46.15"
3129,"Boise St",2020,"12","22","54.55"
3130,"Boston College",1998,"12","17","70.59"
3130,"Boston College",1999,"12","21","57.14"
3130,"Boston College",2000,"16","25","64.00"
3130,"Boston College",2001,"6","14","42.86"
3130,"Boston College",2002,"13","23","56.52"
3130,"Boston College",2003,"9","20","45.00"
3130,"Boston College",2004,"11","25","44.00"
3130,"Boston College",2005,"11","19","57.89"
3130,"Boston College",2006,"14","19","73.68"
3130,"Boston College",2007,"9","12","75.00"
3130,"Boston College",2008,"13","20","65.00"
3130,"Boston College",2009,"10","20","50.00"
3130,"Boston College",2010,"10","17","58.82"
3130,"Boston College",2011,"9","18","50.00"
3130,"Boston College",2012,"6","7","85.71"
3130,"Boston College",2013,"7","12","58.33"
3130,"Boston College",2014,"9","12","75.00"
3130,"Boston College",2015,"9","13","69.23"
3130,"Boston College",2016,"8","15","53.33"
3130,"Boston College",2017,"6","9","66.67"
3130,"Boston College",2018,"6","7","85.71"
3130,"Boston College",2019,"8","14","57.14"
3130,"Boston College",2020,"10","20","50.00"
3131,"Boston Univ",1998,"6","9","66.67"
3131,"Boston Univ",1999,"3","5","60.00"
3131,"Boston Univ",2000,"3","8","37.50"
3131,"Boston Univ",2001,"6","10","60.00"
3131,"Boston Univ",2002,"8","17","47.06"
3131,"Boston Univ",2003,"7","16","43.75"
3131,"Boston Univ",2004,"9","19","47.37"
3131,"Boston Univ",2005,"9","15","60.00"
3131,"Boston Univ",2006,"10","18","55.56"
3131,"Boston Univ",2007,"8","15","53.33"
3131,"Boston Univ",2008,"11","20","55.00"
3131,"Boston Univ",2009,"11","24","45.83"
3131,"Boston Univ",2010,"8","16","50.00"
3131,"Boston Univ",2011,"9","17","52.94"
3131,"Boston Univ",2012,"11","23","47.83"
3131,"Boston Univ",2013,"11","23","47.83"
3131,"Boston Univ",2014,"7","13","53.85"
3131,"Boston Univ",2015,"5","5","100.00"
3131,"Boston Univ",2016,"2","3","66.67"
3131,"Boston Univ",2017,"8","13","61.54"
3131,"Boston Univ",2018,"4","10","40.00"
3131,"Boston Univ",2019,"8","15","53.33"
3131,"Boston Univ",2020,"11","18","61.11"
3132,"Bowling Green",1998,"12","20","60.00"
3132,"Bowling Green",1999,"9","13","69.23"
3132,"Bowling Green",2000,"6","12","50.00"
3132,"Bowling Green",2001,"7","11","63.64"
3132,"Bowling Green",2002,"5","8","62.50"
3132,"Bowling Green",2003,"6","12","50.00"
3132,"Bowling Green",2004,"9","21","42.86"
3132,"Bowling Green",2005,"12","23","52.17"
3132,"Bowling Green",2006,"14","28","50.00"
3132,"Bowling Green",2007,"14","29","48.28"
3132,"Bowling Green",2008,"10","25","40.00"
